2018-08-12 22:36:53 INFO  root:64 - make click on label Login
2018-08-12 22:36:53 INFO  root:66 - clean label Login
2018-08-12 22:36:53 INFO  root:68 - insert test login
2018-08-12 22:36:53 INFO  root:73 - make click on label Password
2018-08-12 22:36:53 INFO  root:75 - clean label Password
2018-08-12 22:36:53 INFO  root:77 - insert test Password
2018-08-12 22:36:54 INFO  root:81 - make click on button Login
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:26 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
2018-08-12 22:37:27 ERROR root:129 - LogOut button pressed. AutoTest Was Stopped
